# Time (month),FSNS (W/m2),FSDSC (W/m2),FLDS (W/m2),FLNTC (W/m2),FLNT (W/m2),FLUT (W/m2),FSNTOA (W/m2),FSNT (W/m2),TS (K),SOLIN (W/m2),FLNS (W/m2),FSNTC (W/m2),FSDS (W/m2),FSNSC (W/m2),FLUTC (W/m2)
1.000000000000000000e+01,1.662687873022868246e+02,2.577449270116524644e+02,3.343241394409641885e+02,2.577280984122460268e+02,2.343827260682579379e+02,2.357340665554382610e+02,2.440990128859130266e+02,2.405776482716823637e+02,2.863493064891325162e+02,3.505524512444648622e+02,5.456509466744741133e+01,2.917709569595094763e+02,1.955657209294621737e+02,2.229170023172803781e+02,2.590794388855241550e+02
1.100000000000000000e+01,1.658732061791562558e+02,2.592623742747971392e+02,3.302109571190518409e+02,2.565905388224593366e+02,2.329017216549225964e+02,2.342725446631692137e+02,2.437002068479812351e+02,2.401796582196799363e+02,2.853663643743133775e+02,3.521020633773682107e+02,5.441572967286777640e+01,2.923352372933056813e+02,1.961280035487125417e+02,2.235206157440485981e+02,2.579613619476310191e+02
1.200000000000000000e+01,1.655828573775677910e+02,2.566910578049064497e+02,3.303997044643754748e+02,2.565694479410379927e+02,2.338350745935138661e+02,2.352038649443691440e+02,2.437816031720130638e+02,2.402581920435616496e+02,2.852094127051825012e+02,3.502502630993002981e+02,5.388666777153026999e+01,2.933040921125576119e+02,1.927221881009230628e+02,2.242133299310730479e+02,2.579382384425232431e+02
1.300000000000000000e+01,1.650836675641693319e+02,2.525829937525292053e+02,3.317962048421126156e+02,2.567360535543222682e+02,2.331685222933158173e+02,2.345151061718028700e+02,2.427852302950980459e+02,2.392810199631968544e+02,2.854666022890502859e+02,3.458487839421814556e+02,5.414883557052129959e+01,2.917915347818531018e+02,1.893965342544480279e+02,2.229253854244218189e+02,2.580826376630098480e+02
1.400000000000000000e+01,1.633600344135516025e+02,2.472391496408894795e+02,3.343518497387206025e+02,2.576984175006472810e+02,2.333774816713349765e+02,2.347002284281025766e+02,2.403716006983643751e+02,2.369199890104408155e+02,2.863076845392435530e+02,3.401270852817171999e+02,5.541740324857232736e+01,2.864502438689945052e+02,1.873703844133486882e+02,2.178433787888226334e+02,2.590211640569411315e+02
1.500000000000000000e+01,1.599755032820958434e+02,2.429947497562163221e+02,3.372182134650710168e+02,2.589458277475672503e+02,2.334431311307447459e+02,2.347432946555453555e+02,2.357874670833130040e+02,2.324108396434088775e+02,2.872098928958650390e+02,3.344575944681887449e+02,5.677072841364584832e+01,2.795087920853748642e+02,1.859225170570374530e+02,2.115745622515120203e+02,2.602459912963980742e+02
1.600000000000000000e+01,1.551885451214140517e+02,2.389996480849816862e+02,3.416438899067981083e+02,2.605489128605197493e+02,2.347451451650082674e+02,2.360325015274523821e+02,2.313867863787050112e+02,2.280835051689436455e+02,2.881834870520628442e+02,3.304511018451315181e+02,5.676347922379735422e+01,2.744812308329223356e+02,1.826177416671177127e+02,2.059253091607997135e+02,2.618362695194549588e+02
1.700000000000000000e+01,1.511715061590267055e+02,2.356119318245320358e+02,3.464500503648890231e+02,2.621863475955557874e+02,2.361169440956565211e+02,2.374006415425653245e+02,2.291020340078195545e+02,2.258229681591019471e+02,2.888694009415085588e+02,3.290112799040467735e+02,5.527170430498285469e+01,2.747334414823445741e+02,1.762115119064035582e+02,2.046308828859555433e+02,2.634700449179085808e+02
1.800000000000000000e+01,1.511592223330494562e+02,2.339569990139465858e+02,3.496645318890195995e+02,2.634930752458514007e+02,2.380190954721147705e+02,2.393094661349012995e+02,2.309391691206799067e+02,2.276137486560099035e+02,2.892711358169177061e+02,3.304680509141599600e+02,5.422297009986542093e+01,2.795832242086547126e+02,1.714374036931238834e+02,2.077319495353333991e+02,2.647834459640982914e+02
1.900000000000000000e+01,1.550649228751888415e+02,2.386717571808038656e+02,3.490992080257329349e+02,2.632251188901944943e+02,2.383271071048166334e+02,2.396312498552142642e+02,2.342544364126342487e+02,2.308466046980940689e+02,2.890130641583946840e+02,3.345752306768507651e+02,5.362227640751829227e+01,2.849927413412227679e+02,1.738227076255153349e+02,2.139942268854256895e+02,2.645292614076863629e+02
2.000000000000000000e+01,1.620846230352237853e+02,2.452573111066137983e+02,3.432173579265628973e+02,2.619021732984630262e+02,2.384296258556881014e+02,2.397438083312737263e+02,2.406345195536331971e+02,2.371613389328174719e+02,2.882566529294442716e+02,3.402668183692346702e+02,5.557808880702989995e+01,2.894217532591624149e+02,1.825526939650356724e+02,2.193346918900235494e+02,2.632163557912967917e+02
2.100000000000000000e+01,1.642194192031597879e+02,2.519804137638020336e+02,3.375013130399546526e+02,2.595744063223624494e+02,2.361204017800265831e+02,2.374496183078400406e+02,2.425899924967537800e+02,2.390784109769202246e+02,2.871841152884404096e+02,3.461481609428505521e+02,5.571776879138920435e+01,2.913020433394246425e+02,1.889442046929725905e+02,2.218399951082071482e+02,2.609036226405356729e+02
2.200000000000000000e+01,1.646419142124483415e+02,2.574392587100360288e+02,3.330398757406680943e+02,2.569729621748812178e+02,2.329360343334637946e+02,2.342918804649252138e+02,2.427902327237278541e+02,2.392677444059948471e+02,2.860065316356752874e+02,3.505524512444648622e+02,5.424104495991534947e+01,2.918673433484817679e+02,1.936552101935138523e+02,2.228602062586711838e+02,2.583288083100616745e+02
2.300000000000000000e+01,1.653228889604109213e+02,2.586556654639341559e+02,3.300279539127403723e+02,2.565594931081290042e+02,2.333589119354167849e+02,2.347309089984192099e+02,2.435281102927638130e+02,2.400076178941025375e+02,2.853540904130139211e+02,3.521020633773682107e+02,5.430011819412867879e+01,2.923286400831465812e+02,1.953586691371870643e+02,2.231875131860694239e+02,2.579314902141411494e+02
2.400000000000000000e+01,1.655484400637164697e+02,2.566675970923406567e+02,3.288954304632744652e+02,2.561337219037027921e+02,2.336849516323716784e+02,2.350593650327249691e+02,2.436671211197881064e+02,2.401430554054089441e+02,2.850248575931548771e+02,3.502502630993002981e+02,5.447647612411034146e+01,2.932071793693453401e+02,1.927155102916912597e+02,2.241783588776352190e+02,2.575081352763353379e+02
2.500000000000000000e+01,1.643319370719340213e+02,2.524015487239971378e+02,3.303182978719189578e+02,2.562047666507566532e+02,2.327869404067279504e+02,2.341407828014344545e+02,2.420354456152241198e+02,2.385298957570044820e+02,2.852098018360094329e+02,3.458487839421814556e+02,5.421138856530368599e+01,2.914657132527008798e+02,1.886609632569627593e+02,2.227513667918654221e+02,2.575586090674385673e+02
2.600000000000000000e+01,1.618725558294367488e+02,2.468093887059392273e+02,3.343638918654208965e+02,2.576115691221089605e+02,2.334478209524154693e+02,2.347740011328719447e+02,2.392164480345896891e+02,2.357639777495411977e+02,2.862795878622846999e+02,3.401270852817171999e+02,5.495831496990506082e+01,2.865489526217813818e+02,1.854285190732082640e+02,2.177734664080737161e+02,2.589377492306550153e+02
2.700000000000000000e+01,1.603560201726894263e+02,2.427439415627520134e+02,3.372773929111444886e+02,2.586247103234604765e+02,2.331418338540167099e+02,2.344401918431828449e+02,2.364499895336421673e+02,2.330741867045955757e+02,2.872159684341665411e+02,3.344575944681887449e+02,5.632238128076445349e+01,2.801542302028811946e+02,1.853604384269643219e+02,2.119195798100673755e+02,2.599230683628676388e+02
2.800000000000000000e+01,1.558767849045797504e+02,2.388399968494579184e+02,3.402299245096349409e+02,2.599510553752657529e+02,2.339134430695932281e+02,2.351990763314142043e+02,2.322042556450184918e+02,2.289016880623687484e+02,2.880167456342799142e+02,3.304511018451315181e+02,5.701268238716360059e+01,2.748201891568156725e+02,1.827735115984690708e+02,2.061515627632433336e+02,2.612366883618627185e+02
2.900000000000000000e+01,1.514590596423790601e+02,2.352830517343194572e+02,3.450798885500785786e+02,2.616167639771352924e+02,2.354195779248252052e+02,2.367018448241196324e+02,2.295285996582411485e+02,2.262503079310455973e+02,2.887225618893289152e+02,3.290112799040467735e+02,5.575430712681430379e+01,2.749298990579829365e+02,1.761591528086537153e+02,2.046510521320213911e+02,2.628990309927042972e+02
3.000000000000000000e+01,1.527906491782004537e+02,2.355677475584602405e+02,3.486963958358417131e+02,2.632557582299121464e+02,2.376327711217379601e+02,2.389214753398351547e+02,2.314031623599732654e+02,2.280780545980306897e+02,2.891794168154440854e+02,3.304680509141599600e+02,5.471318845142903342e+01,2.795606708736568748e+02,1.736137946192273489e+02,2.088034204490163859e+02,2.645444622368424348e+02
3.100000000000000000e+01,1.564788458464732628e+02,2.394559131111374768e+02,3.481166942992753661e+02,2.633070307540410795e+02,2.386146384268938903e+02,2.399173901897501935e+02,2.351091268117756101e+02,2.317020037563098924e+02,2.889824877563706877e+02,3.345752306768507651e+02,5.446678915926595010e+01,2.849849461711910976e+02,1.754092465226418938e+02,2.145143763242911064e+02,2.646097825838756421e+02
3.200000000000000000e+01,1.618940030667530436e+02,2.451369869126675383e+02,3.438062479240800826e+02,2.618746958879576709e+02,2.380499104383974895e+02,2.393652097762136179e+02,2.405289694913777510e+02,2.370555649748458222e+02,2.883746138551487093e+02,3.402668183692346702e+02,5.538790381032988108e+01,2.891866312532499137e+02,1.825306843602766094e+02,2.190059568996898065e+02,2.631899952258696089e+02
3.300000000000000000e+01,1.660264394631788605e+02,2.526002491189093746e+02,3.369116872616630189e+02,2.593300384749253453e+02,2.357095800403989756e+02,2.370402440712998668e+02,2.437987153969153269e+02,2.402880999706504781e+02,2.871416465281869819e+02,3.461481609428505521e+02,5.611532242318424579e+01,2.910861565895248191e+02,1.912902670577443587e+02,2.220270445650970146e+02,2.606607025449698654e+02
3.400000000000000000e+01,1.654733731045605793e+02,2.582583553481331364e+02,3.321600266799104020e+02,2.571299751049082829e+02,2.332714289989291387e+02,2.346231658294756812e+02,2.430023486087374351e+02,2.394801647812096235e+02,2.859486609344992871e+02,3.505524512444648622e+02,5.511757424532643057e+01,2.913650099379173071e+02,1.951300206851534824e+02,2.229212278313405307e+02,2.584817119042682521e+02
3.500000000000000000e+01,1.644838052406263955e+02,2.586754073640960883e+02,3.306011920969035600e+02,2.560102501208710351e+02,2.325316108502362340e+02,2.339017112653697268e+02,2.428266260097887255e+02,2.393056742979814544e+02,2.852615852492303929e+02,3.521020633773682107e+02,5.341394354376109987e+01,2.919716019025406695e+02,1.946998471149898933e+02,2.227423603288074503e+02,2.573803505891050349e+02
3.600000000000000000e+01,1.651445684113399182e+02,2.564949211188680351e+02,3.287075157378424706e+02,2.559120319373986661e+02,2.329885658928722023e+02,2.343531636599012131e+02,2.432796563817388176e+02,2.397567099062824525e+02,2.849562016132492204e+02,3.502502630993002981e+02,5.429797858521171605e+01,2.931434322654225184e+02,1.921863737534425809e+02,2.241042757702153665e+02,2.572766298347758038e+02
3.700000000000000000e+01,1.641881880570696239e+02,2.525942141899810451e+02,3.300916761062723594e+02,2.561368041061236909e+02,2.329682594474429322e+02,2.343130302994607064e+02,2.418417688804561863e+02,2.383365519653702904e+02,2.850766632223839565e+02,3.458487839421814556e+02,5.397533676268431435e+01,2.915721275928676732e+02,1.885381074513561259e+02,2.229478186503879726e+02,2.574815747921994671e+02
3.800000000000000000e+01,1.635684012759826089e+02,2.476078471072515015e+02,3.320810265202067058e+02,2.575240377644159366e+02,2.338502867599681849e+02,2.351744956932710124e+02,2.400832003979925844e+02,2.366311947419987405e+02,2.859175446507308038e+02,3.401270852817171999e+02,5.609215037930935921e+01,2.864490123178667886e+02,1.875810697551744681e+02,2.183258870971593808e+02,2.588482467441139647e+02
3.900000000000000000e+01,1.585731281089011020e+02,2.428213244765703678e+02,3.371935544870854073e+02,2.584022840050084824e+02,2.330629352210699778e+02,2.343649855782118436e+02,2.349401679510125973e+02,2.315626194905158854e+02,2.870075416904917347e+02,3.344575944681887449e+02,5.571394399727986269e+01,2.797347118045472598e+02,1.841314823022396183e+02,2.114410505001763454e+02,2.597043344195702730e+02
4.000000000000000000e+01,1.547172846194439160e+02,2.389867927160997567e+02,3.402137051072710392e+02,2.599251544555858118e+02,2.339482099822412522e+02,2.352357905688540427e+02,2.309601556784400032e+02,2.276561365310192571e+02,2.878958031155212325e+02,3.304511018451315181e+02,5.665897730993636117e+01,2.742022583222947105e+02,1.821253613507892624e+02,2.056575226458095074e+02,2.612127347251520177e+02
4.100000000000000000e+01,1.515088375630441817e+02,2.353455574760160403e+02,3.454607405047742077e+02,2.615979466358608079e+02,2.357906802684377396e+02,2.370748680111695990e+02,2.295877915732608869e+02,2.263091947059353686e+02,2.886541929701567710e+02,3.290112799040467735e+02,5.502019405246056039e+01,2.748683893628299302e+02,1.763333871864870730e+02,2.045634982424966211e+02,2.628821344678961509e+02
4.200000000000000000e+01,1.530953246592911796e+02,2.357497851402315518e+02,3.486941988599782007e+02,2.629559305733301358e+02,2.373730149164105399e+02,2.386626453488871675e+02,2.315813970070341838e+02,2.282564074167603394e+02,2.891364350168004194e+02,3.304680509141599600e+02,5.440990171843431256e+01,2.799121571647757492e+02,1.734603521199689737e+02,2.092454604299309722e+02,2.642455612196445713e+02
4.300000000000000000e+01,1.556970175414863320e+02,2.384542320991508291e+02,3.478733584391516160e+02,2.628226784605345188e+02,2.380286323482034163e+02,2.393331173740642157e+02,2.350900676256339068e+02,2.316824414541819124e+02,2.888880141411949012e+02,3.345752306768507651e+02,5.410437984597587757e+01,2.848819805404160661e+02,1.745886569701354745e+02,2.136778427525542270e+02,2.641271634546096152e+02
4.400000000000000000e+01,1.624156455461170196e+02,2.461723837382794216e+02,3.439893847709765282e+02,2.619383991795337465e+02,2.379820207368306058e+02,2.393010376243988446e+02,2.404797388869738768e+02,2.370053919595619050e+02,2.883708474759781666e+02,3.402668183692346702e+02,5.514421054338745876e+01,2.897520261756130253e+02,1.826047380194021628e+02,2.202246574112654969e+02,2.632574161895766451e+02
4.500000000000000000e+01,1.649800527978555920e+02,2.527062522920315928e+02,3.382666728717583169e+02,2.597150866463608168e+02,2.360111868681440797e+02,2.373414387002611363e+02,2.429832875399738157e+02,2.394716444587305091e+02,2.873333650155589680e+02,3.461481609428505521e+02,5.541962480901466392e+01,2.916857936167443768e+02,1.895658400522603984e+02,2.225649054158022864e+02,2.610453383858173311e+02
4.600000000000000000e+01,1.664312771310804919e+02,2.583658416085814906e+02,3.322911397149682671e+02,2.574146235390433048e+02,2.337443888255499189e+02,2.350961443839537992e+02,2.438714045642443864e+02,2.403498298180932409e+02,2.860345678727392738e+02,3.505524512444648622e+02,5.530857765165679751e+01,2.919913227936830822e+02,1.956627249196776575e+02,2.235839724756440603e+02,2.587663791856330704e+02
4.700000000000000000e+01,1.669678860493824288e+02,2.596318232174442073e+02,3.297090745794749296e+02,2.561120966896968412e+02,2.324989140641688721e+02,2.338668417702320426e+02,2.447091845042376121e+02,2.411897060532108981e+02,2.852548302484382816e+02,3.521020633773682107e+02,5.443484745238983180e+01,2.931123863628131971e+02,1.966364394742308264e+02,2.244237311272326565e+02,2.574800244208833533e+02
4.800000000000000000e+01,1.668393093971709504e+02,2.568224999577263361e+02,3.298166488693322549e+02,2.563674178076441308e+02,2.331853016148129996e+02,2.345543973558463620e+02,2.448373834122095332e+02,2.413136759887954383e+02,2.852073562086831089e+02,3.502502630993002981e+02,5.431630998624061135e+01,2.940411764557544529e+02,1.933459178104887997e+02,2.250770524512724649e+02,2.577365132843210631e+02
4.900000000000000000e+01,1.657775873740020245e+02,2.530338793698923041e+02,3.322339509531479962e+02,2.565031910422884494e+02,2.328195593163023602e+02,2.341753449480841027e+02,2.431356120244781778e+02,2.396301983974400969e+02,2.856075193964331334e+02,3.458487839421814556e+02,5.399558784194692862e+01,2.924603754099109665e+02,1.895322638489348890e+02,2.239535958531188555e+02,2.578589768213004163e+02
5.000000000000000000e+01,1.639882278494387720e+02,2.476357875625130589e+02,3.328864118878930753e+02,2.576478083313664911e+02,2.332917437210592766e+02,2.346185831845357654e+02,2.406019976102505211e+02,2.371501273724318821e+02,2.861389472900671649e+02,3.401270852817171999e+02,5.602139881111749986e+01,2.866183085043139158e+02,1.879825995082295265e+02,2.183221351211147123e+02,2.589746477614992273e+02
