# Time (month),FSNT (W/m2),FLNS (W/m2),FSDSC (W/m2),FSNTC (W/m2),FSNS (W/m2),FLUTC (W/m2),FSDS (W/m2),FLNT (W/m2),FLUT (W/m2),FSNSC (W/m2),TS (K),SOLIN (W/m2),FLNTC (W/m2)
3.100000000000000000e+01,2.368450905681770564e+02,4.958608228524157369e+01,2.332930722051174257e+02,2.844297098892802182e+02,1.594142046915190747e+02,2.638081075380137008e+02,1.769477473965420700e+02,2.422781610457844579e+02,2.436848305268908348e+02,2.109400171914525970e+02,2.924900469214616692e+02,3.319162397577518959e+02,2.624014381351298653e+02
3.200000000000000000e+01,2.408938182952578586e+02,5.015133110798428362e+01,2.388882970247505284e+02,2.878370654572595981e+02,1.642700720465940378e+02,2.616572941611544252e+02,1.830801885115538425e+02,2.400431301384080882e+02,2.414594035598512392e+02,2.152445908799103620e+02,2.918471416419553748e+02,3.365665217557847768e+02,2.602410207228393233e+02
3.300000000000000000e+01,2.431401006035659691e+02,5.117947983437743886e+01,2.457445602231119040e+02,2.900115372098501894e+02,1.671095250483231496e+02,2.601923068428804413e+02,1.898739802123246534e+02,2.381645009542239961e+02,2.395944366817109312e+02,2.182791767486739332e+02,2.911019270596510751e+02,3.423565764034953531e+02,2.587623710806373083e+02
3.400000000000000000e+01,2.437114052888703100e+02,5.042741930922425553e+01,2.521040728564173605e+02,2.919507514817643141e+02,1.676460866856642156e+02,2.584711319839434509e+02,1.942007543947754300e+02,2.358911889877291514e+02,2.373449519901961935e+02,2.206314405483853704e+02,2.902836163824434266e+02,3.477552318303930861e+02,2.570173689768335521e+02
3.500000000000000000e+01,2.451152978382787069e+02,4.967609373775449910e+01,2.545068516322780852e+02,2.947428594884137851e+02,1.682257691938030462e+02,2.575219839774362640e+02,1.949918199938350654e+02,2.352129402020027271e+02,2.366923192301495646e+02,2.227514024878152554e+02,2.894706437457196557e+02,3.511677614972420542e+02,2.560426048688439664e+02
3.600000000000000000e+01,2.462482492803465277e+02,4.941111084705369905e+01,2.535894880875133310e+02,2.971612973908595450e+02,1.686551376859931963e+02,2.575482205973343639e+02,1.929900719816153298e+02,2.356968820036636885e+02,2.371837754833603071e+02,2.244882631386033438e+02,2.891520458335594412e+02,3.515032055601481034e+02,2.560613272956791207e+02
3.700000000000000000e+01,2.478963648772499937e+02,4.990282094754399367e+01,2.509443525340827250e+02,2.966556846437675858e+02,1.706858492309834503e+02,2.584628812808693965e+02,1.930383522115321000e+02,2.370359475384199186e+02,2.385025785445458268e+02,2.240227039381947804e+02,2.896731872549395348e+02,3.487915157855871371e+02,2.569962501836551496e+02
3.800000000000000000e+01,2.451654175087252270e+02,5.004582231385413849e+01,2.467679145759384198e+02,2.925395391426566221e+02,1.685251655584679611e+02,2.587727063544069210e+02,1.901699136836951709e+02,2.358946191269113797e+02,2.373400859900893636e+02,2.201311506826844493e+02,2.904862624296775948e+02,3.438926921644825256e+02,2.573272395558532253e+02
3.900000000000000000e+01,2.416775101589954602e+02,5.157374157900034817e+01,2.418211301401896947e+02,2.853809550980977860e+02,1.656996185265197994e+02,2.604519581991825703e+02,1.893964914300591147e+02,2.373307891202453845e+02,2.387504372550352230e+02,2.131453217197264962e+02,2.915458007592192189e+02,3.380461108871218130e+02,2.590323100514448242e+02
4.000000000000000000e+01,2.371892502175729760e+02,5.084067462267992710e+01,2.372915835262517703e+02,2.803112263418707357e+02,1.611952067961517514e+02,2.618800916614940206e+02,1.855763472183372471e+02,2.380643651949955313e+02,2.394647177659906276e+02,2.078404627615184381e+02,2.924991108326328799e+02,3.329646889944767167e+02,2.604797390685782830e+02
4.100000000000000000e+01,2.364532094170395737e+02,5.004972027688036462e+01,2.319485962100694962e+02,2.802442435416804187e+02,1.588037135036535972e+02,2.641475467795874579e+02,1.796098751071546076e+02,2.416846907898656696e+02,2.430812910724214362e+02,2.062593429520849782e+02,2.931690528581792137e+02,3.298736233107106273e+02,2.627509465375871400e+02
4.200000000000000000e+01,2.356428718905201833e+02,4.927634041673875487e+01,2.304522982090145433e+02,2.819936638731940661e+02,1.574725332730493790e+02,2.658480838205603618e+02,1.756504381709668792e+02,2.441722040044019479e+02,2.455731049822346961e+02,2.076433941451753071e+02,2.934241469037976913e+02,3.294832371646313618e+02,2.644471830078819607e+02
