# Time (month),FLNS (W/m2),FLUT (W/m2),SOLIN (W/m2),FLNT (W/m2),FSNTC (W/m2),FSDSC (W/m2),FSNSC (W/m2),FLUTC (W/m2),FSDS (W/m2),FSNTOA (W/m2),TS (K),FLDS (W/m2),FSNT (W/m2),FSNS (W/m2),FLNTC (W/m2)
1.000000000000000000e+01,5.564106052707757044e+01,2.366935143718279164e+02,3.477552318303930861e+02,2.353506929715143769e+02,2.892416770433163720e+02,2.569944883204798316e+02,2.220307244176013626e+02,2.593606480995013044e+02,1.964424029224808521e+02,2.432488518723637583e+02,2.859845641135213441e+02,3.317631925051738904e+02,2.397552979203834411e+02,1.670707568961514653e+02,2.580178267474254881e+02
1.100000000000000000e+01,5.530241225043544517e+01,2.361832686659318483e+02,3.511677614972420542e+02,2.348169371565508925e+02,2.914090107001417778e+02,2.595916306893534511e+02,2.235612908465605813e+02,2.584191984296326723e+02,1.987795216781323120e+02,2.450757834692669803e+02,2.852380222101014056e+02,3.287454261471318091e+02,2.415649219814361004e+02,1.682535116916893116e+02,2.570528669941784869e+02
1.200000000000000000e+01,5.490580146529769223e+01,2.363303434679219777e+02,3.515032055601481034e+02,2.349543736667906444e+02,2.942556354589063403e+02,2.585169684665340242e+02,2.257029791199977637e+02,2.583050717438384254e+02,1.968753927778910793e+02,2.468765817870799424e+02,2.850780774289798956e+02,3.289466349134558527e+02,2.433407933554363183e+02,1.693507456383849501e+02,2.569291019588824270e+02
1.300000000000000000e+01,5.469142521020120284e+01,2.374982376558967019e+02,3.487915157855871371e+02,2.361346957734481009e+02,2.937920118026751197e+02,2.554029985798582061e+02,2.252873619664919147e+02,2.594308807676379729e+02,1.937183514831996263e+02,2.462270720517271343e+02,2.855831656245673571e+02,3.316647461480680477e+02,2.426913557703221045e+02,1.688013077994108357e+02,2.580673389715549320e+02
1.400000000000000000e+01,5.515372212645933558e+01,2.367269879858441186e+02,3.438926921644825256e+02,2.353880941673511416e+02,2.895137343432948569e+02,2.514307543372711109e+02,2.212120168153153088e+02,2.597413579397204444e+02,1.918067875405614586e+02,2.438427207818721456e+02,2.862690464243070778e+02,3.344462882607749634e+02,2.403511371749899297e+02,1.669864946287605676e+02,2.584024640926218694e+02
1.500000000000000000e+01,5.681774639674944183e+01,2.383031909369067023e+02,3.380461108871218130e+02,2.369825852882985657e+02,2.824559671243068806e+02,2.468004175322039089e+02,2.146404751471047518e+02,2.616611298470107272e+02,1.904444667075282780e+02,2.397274068197470172e+02,2.872682651592647289e+02,3.373908760478327054e+02,2.363129800465760297e+02,1.638200697389503944e+02,2.603405241064802453e+02
1.600000000000000000e+01,5.696477387700301875e+01,2.390883721892456606e+02,3.329646889944767167e+02,2.377847622282505426e+02,2.769585623812425865e+02,2.426545660753230322e+02,2.092033558703975586e+02,2.631728642283434851e+02,1.872684874854094232e+02,2.351171585293852502e+02,2.882412155927951858e+02,3.415427850583899385e+02,2.317876031369331429e+02,1.595457748451478039e+02,2.618692542173876632e+02
1.700000000000000000e+01,5.695112084621181481e+01,2.408913607733170466e+02,3.298736233107106273e+02,2.395950619048084889e+02,2.758805234685999608e+02,2.386798777275654686e+02,2.074392288053043956e+02,2.646673935356575953e+02,1.830811895626366379e+02,2.334367025749471622e+02,2.889945095459793265e+02,3.454794407987284330e+02,2.301496050176950519e+02,1.572870123053969564e+02,2.633710946356846421e+02
1.800000000000000000e+01,5.525095596810599119e+01,2.428584087054419740e+02,3.294832371646313618e+02,2.415602751413980513e+02,2.785948222804140642e+02,2.361969754883866131e+02,2.091367001382739943e+02,2.661736222348756087e+02,1.770109620867065132e+02,2.329771383101015658e+02,2.893758573428256113e+02,3.490224594036828876e+02,2.296611528884437519e+02,1.555637095621770527e+02,2.648754886888476108e+02
1.900000000000000000e+01,5.534091003860240221e+01,2.425552659019386965e+02,3.319162397577518959e+02,2.412494488829609338e+02,2.822814783484067789e+02,2.381426666266029883e+02,2.129328783322926029e+02,2.649919461357119985e+02,1.779031581484681226e+02,2.356071896182843943e+02,2.888039145972172719e+02,3.464707554357947288e+02,2.322272877785453034e+02,1.581256867494555252e+02,2.636861290825594324e+02
2.000000000000000000e+01,5.586020341081270857e+01,2.406621576207220414e+02,3.365665217557847768e+02,2.393507395717192878e+02,2.860933350773866550e+02,2.442120009408891406e+02,2.180323480033683268e+02,2.633922158001032585e+02,1.836062705167816773e+02,2.393754300355391251e+02,2.881284190544283206e+02,3.419824649605828881e+02,2.359391706991075353e+02,1.629058931194574029e+02,2.620807977165726470e+02
2.100000000000000000e+01,5.643373747937309304e+01,2.386052167311749486e+02,3.423565764034953531e+02,2.372836879554688778e+02,2.878876257138541064e+02,2.512675994502002936e+02,2.207438071954634324e+02,2.609919998627634072e+02,1.914498938785697817e+02,2.421706028167775742e+02,2.869142742626574432e+02,3.352667948637918016e+02,2.386978420804552457e+02,1.663221861660311447e+02,2.596704710162746323e+02
2.200000000000000000e+01,5.571806332518065119e+01,2.372524115045502242e+02,3.477552318303930861e+02,2.359118659728338514e+02,2.892199764078459339e+02,2.567920006778787183e+02,2.220226838341989719e+02,2.593712304796057424e+02,1.968868170968794118e+02,2.436165976150694235e+02,2.858082112597102764e+02,3.304381232947010858e+02,2.401233990377965881e+02,1.674839720435757329e+02,2.580306849697058169e+02
2.300000000000000000e+01,5.498277361394905682e+01,2.358664993704549886e+02,3.511677614972420542e+02,2.344973233540446245e+02,2.918874063510785390e+02,2.591249029801079473e+02,2.238487294081546111e+02,2.578331003859142356e+02,1.969243025032341166e+02,2.443295270931579353e+02,2.849523711940897215e+02,3.275046964539160399e+02,2.408185239477169830e+02,1.671097085285402102e+02,2.564639245179897671e+02
2.400000000000000000e+01,5.511883456679475302e+01,2.360862670882544592e+02,3.515032055601481034e+02,2.347125700982238641e+02,2.945398245879146089e+02,2.587982610829913028e+02,2.262406412462943877e+02,2.576870658929034903e+02,1.971165937833719681e+02,2.471742742948020179e+02,2.848374163167711117e+02,3.271092497263124983e+02,2.436377353122762202e+02,1.697954136666158149e+02,2.563133688596133766e+02
2.500000000000000000e+01,5.671204609775005423e+01,2.362507318017161708e+02,3.487915157855871371e+02,2.348868611034493767e+02,2.938763597430884147e+02,2.557496211876826351e+02,2.255998671992930156e+02,2.583147934814194286e+02,1.964617000496729986e+02,2.483606619485846636e+02,2.851996016442628274e+02,3.275976608371979069e+02,2.448265577090935494e+02,1.713482251574356496e+02,2.569509228527180653e+02
2.600000000000000000e+01,5.671148090640541284e+01,2.370827603480077528e+02,3.438926921644825256e+02,2.357437728186892798e+02,2.892314321856630386e+02,2.512170642335949537e+02,2.211100445106319228e+02,2.592562715869973431e+02,1.933341607388824741e+02,2.451374094101844321e+02,2.859000783350475672e+02,3.309628089166174618e+02,2.416472710231182077e+02,1.685177520788700747e+02,2.579172840036487173e+02
2.700000000000000000e+01,5.757242148356346689e+01,2.377785315928869920e+02,3.380461108871218130e+02,2.364640736054092258e+02,2.823044908922004197e+02,2.468223564809057109e+02,2.146027406945019038e+02,2.609443192225258485e+02,1.913570878317730148e+02,2.405912868258941160e+02,2.871760927610845329e+02,3.357611804998949196e+02,2.371783499211889250e+02,1.647940734530953648e+02,2.596298612875556273e+02
2.800000000000000000e+01,5.812008600654483814e+01,2.382546129289295038e+02,3.329646889944767167e+02,2.369570623364058974e+02,2.768476572014795352e+02,2.428761129342713048e+02,2.092860597781371155e+02,2.625112060987447649e+02,1.881621841187800896e+02,2.355012536142301371e+02,2.880499876594887496e+02,3.393713896291777701e+02,2.321724929342979920e+02,1.601554300944141858e+02,2.612136556112176322e+02
2.900000000000000000e+01,5.682551825318838468e+01,2.406401902818664098e+02,3.298736233107106273e+02,2.393481551443250623e+02,2.754872025189408191e+02,2.378848583047798400e+02,2.066811375936669037e+02,2.643016553764222181e+02,1.817874581748509399e+02,2.327821413801055428e+02,2.887219472057080907e+02,3.440090115888656328e+02,2.294946971390855879e+02,1.561660673482343498e+02,2.630096202612858178e+02
3.000000000000000000e+01,5.545782394506587565e+01,2.417541630430043256e+02,3.294832371646313618e+02,2.404598453647499809e+02,2.786599965287500140e+02,2.363016829986603966e+02,2.093830910950205180e+02,2.651549116963692541e+02,1.773750422130811728e+02,2.333660834199929752e+02,2.890571298782023746e+02,3.472995931617444398e+02,2.300504554681947127e+02,1.562717136654055707e+02,2.638605940078301160e+02
3.100000000000000000e+01,5.511317233079945765e+01,2.418435225925781822e+02,3.319162397577518959e+02,2.405395988308282824e+02,2.823374018194757014e+02,2.384113465469141886e+02,2.132898279214827255e+02,2.645978503231262380e+02,1.778812694011650990e+02,2.355375402811627623e+02,2.887610442557004831e+02,3.461419684199521498e+02,2.321570573178798611e+02,1.584000371530337361e+02,2.632939266234848787e+02
3.200000000000000000e+01,5.621679979355337764e+01,2.407538403227494257e+02,3.365665217557847768e+02,2.394415684718049420e+02,2.860945412924666016e+02,2.443053989961225909e+02,2.181156073206575172e+02,2.630379802202947985e+02,1.841867049605640716e+02,2.398579692919662136e+02,2.879693244565114014e+02,3.407702184741577298e+02,2.364220591878064965e+02,1.634665264730399201e+02,2.617257084104936098e+02
3.300000000000000000e+01,5.671889364331661199e+01,2.390611492371141651e+02,3.423565764034953531e+02,2.377391980320949187e+02,2.876074913383592389e+02,2.510569799744866373e+02,2.204236765035243479e+02,2.609299500363293305e+02,1.918932939122409209e+02,2.423916703527216328e+02,2.868388574370425772e+02,3.345685717074713352e+02,2.389192245088675008e+02,1.664841347879966236e+02,2.596079988080336989e+02
3.400000000000000000e+01,5.627782429387677610e+01,2.362800955239712266e+02,3.477552318303930861e+02,2.349362137248600675e+02,2.892253010190789837e+02,2.569643661629058329e+02,2.221473988437848277e+02,2.585273091612118037e+02,1.969708837206680130e+02,2.435747372890280928e+02,2.856059286852464538e+02,3.290539121461176819e+02,2.400814268271082028e+02,1.675479597022116423e+02,2.571834273123479306e+02
