# Time (month),SOLIN (W/m2),TS (K),FSNSC (W/m2),FLUT (W/m2),FSNS (W/m2),FLNS (W/m2),FLNTC (W/m2),FSNTC (W/m2),FLNT (W/m2),FLUTC (W/m2),FSNT (W/m2)
1.000000000000000000e+01,3.477552318303930861e+02,2.875804045240113282e+02,2.209563056155668903e+02,2.326252385875301627e+02,1.672511714851184479e+02,5.212812793993856531e+01,2.521975705077433361e+02,2.898234691886924566e+02,2.311766658801361700e+02,2.536461431620868439e+02,2.412293297027272558e+02
1.100000000000000000e+01,3.511677614972420542e+02,2.867598435672646815e+02,2.234854892478441855e+02,2.313738460400135466e+02,1.685625243267726319e+02,5.168273633418990443e+01,2.509718681839235330e+02,2.928535838191892822e+02,2.298982673608107064e+02,2.524474467876755170e+02,2.431215262200603604e+02
1.200000000000000000e+01,3.515032055601481034e+02,2.865594349304475941e+02,2.261325447177102319e+02,2.314666376882583450e+02,1.701199922852831605e+02,5.143529619500388606e+01,2.509417668369906949e+02,2.961739633026352294e+02,2.299895810103548968e+02,2.524188235637924436e+02,2.452744663771318585e+02
1.300000000000000000e+01,3.487915157855871371e+02,2.870436446983070482e+02,2.252773287473198707e+02,2.337691105152598539e+02,1.703670617015709752e+02,5.218332423446842228e+01,2.525182179341626068e+02,2.954209841728430206e+02,2.323026638368149008e+02,2.539846645245720822e+02,2.455174340735728435e+02
1.400000000000000000e+01,3.438926921644825256e+02,2.878294487088603546e+02,2.216900114158041220e+02,2.329090559758955692e+02,1.692839156478090104e+02,5.301769757361990543e+01,2.529924207327734678e+02,2.912701805005725646e+02,2.314682476828010067e+02,2.544332291282574943e+02,2.434074670504899132e+02
1.500000000000000000e+01,3.380461108871218130e+02,2.888167257052512582e+02,2.140364532130130044e+02,2.324983746744770201e+02,1.650322230123976794e+02,5.316307660628544340e+01,2.538311413162877272e+02,2.840245873156345624e+02,2.310915545269982658e+02,2.552379615426665111e+02,2.390870294147817674e+02
1.600000000000000000e+01,3.329646889944767167e+02,2.897583245619160834e+02,2.079280510713343233e+02,2.343608830747141667e+02,1.599406360456619325e+02,5.349154118386602619e+01,2.558072459998537909e+02,2.779102911007391299e+02,2.329675705456730554e+02,2.572005586881383010e+02,2.339352468325625409e+02
1.700000000000000000e+01,3.298736233107106273e+02,2.906391044243988517e+02,2.064560820734875790e+02,2.374064821277953001e+02,1.583654945851169202e+02,5.294957353097390751e+01,2.578649646770726349e+02,2.777639510495791342e+02,2.360198234860816058e+02,2.592516232343138540e+02,2.336140930181450415e+02
1.800000000000000000e+01,3.294832371646313618e+02,2.909856225217983479e+02,2.081242162839584466e+02,2.387785340956519917e+02,1.572021987237347673e+02,5.103491114224605241e+01,2.590056132361652317e+02,2.806275847556473764e+02,2.373873132864420938e+02,2.603968339752437373e+02,2.337050301201849720e+02
1.900000000000000000e+01,3.319162397577518959e+02,2.905910400856927254e+02,2.128111708050541893e+02,2.381519870093110285e+02,1.598232970276503693e+02,5.042969342044811754e+01,2.582613468823341805e+02,2.841487923704819991e+02,2.367521207847291294e+02,2.596612130745045306e+02,2.352378552632130777e+02
